Term,SubjectCode,CourseCode,Instructor,Section,QuestionID,QuestionText,ChoiceText,Count
FA15,CHEM,6A,"Bussey, Thomas J",E01,2,Your reason for taking this class is,elective,1
FA15,CHEM,6A,"Bussey, Thomas J",E01,2,Your reason for taking this class is,gen. ed.,7
FA15,CHEM,6A,"Bussey, Thomas J",E01,2,Your reason for taking this class is,interest,2
FA15,CHEM,6A,"Bussey, Thomas J",E01,2,Your reason for taking this class is,major,14
FA15,CHEM,6A,"Bussey, Thomas J",E01,3,What grade do you expect in this class?,A,6
FA15,CHEM,6A,"Bussey, Thomas J",E01,3,What grade do you expect in this class?,B,10
FA15,CHEM,6A,"Bussey, Thomas J",E01,3,What grade do you expect in this class?,C,8
FA15,CHEM,6A,"Bussey, Thomas J",E01,5,Instructor displays a proficient command of the material.,agree,2
FA15,CHEM,6A,"Bussey, Thomas J",E01,5,Instructor displays a proficient command of the material.,strongly agree,22
FA15,CHEM,6A,"Bussey, Thomas J",E01,8,Instructor explains the [coursetype] material well.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E01,8,Instructor explains the [coursetype] material well.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E01,8,Instructor explains the [coursetype] material well.,strongly agree,19
FA15,CHEM,6A,"Bussey, Thomas J",E01,9,Lectures hold your attention.,agree,2
FA15,CHEM,6A,"Bussey, Thomas J",E01,9,Lectures hold your attention.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E01,9,Lectures hold your attention.,neither agree nor disagree,4
FA15,CHEM,6A,"Bussey, Thomas J",E01,9,Lectures hold your attention.,strongly agree,16
FA15,CHEM,6A,"Bussey, Thomas J",E01,9,Lectures hold your attention.,strongly disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E01,10,Instructor's lecture style facilitates note-taking.,agree,2
FA15,CHEM,6A,"Bussey, Thomas J",E01,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E01,10,Instructor's lecture style facilitates note-taking.,strongly agree,20
FA15,CHEM,6A,"Bussey, Thomas J",E01,20,This [coursetype] is difficult relative to others.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E01,20,This [coursetype] is difficult relative to others.,disagree,3
FA15,CHEM,6A,"Bussey, Thomas J",E01,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,7
